as_of,code,name,pool_tags,research_report_covered,research_payload_covered,research_report_date,theme_bucket,theme_candidate_count,theme_strength_count,theme_avg_ret10_pct,totalMarketCap,floatMarketCap,todayAmount,turnoverRate,todayPct,peRatio,latest_kline_date,latest_close,ma5,ma10,ma20,close_to_ma20,ma20_slope_10d_pct,ma_alignment,ret5_pct,ret10_pct,ret20_pct,index_ret5_pct,index_ret10_pct,index_ret20_pct,rel_ret5_pct,rel_ret10_pct,rel_ret20_pct,high20_distance_pct,breakout_20d,close_position,upper_shadow_ratio_pct,close_gt_open,max_drawdown_20_pct,volatility_20_ann_pct,green_ratio_20,long_upper_count_20,large_down_count_20,q1_revenue_yoy_pct,q1_net_profit_yoy_pct,trend_relative_score_35,relative_score_10,quality_score_15,research_score_25,theme_score_20,entry_timing_score_5,risk_penalty,final_score_v0,risk_flags,mainBusiness,industry
2026-06-09,600487.SH,亨通光电,watchlist,0,1,,CPO,8,3,5.681157,259020514830.13998,184427847793.88,17494277000.0,9.848011,10.003142,80.220666,2026-06-09,105.02,97.182,86.088,79.4465,1.321896,9.99024,1,26.347449,51.303847,39.840213,,,,,,,2.000777,1,1.0,0.0,1,-9.356031,89.020676,0.8,5,3,34.09,99.38,25.0,,8.0,15.0,15.0,5.0,0.0,68.0,,光通信/CPO/海缆,
2026-06-09,600522.SH,中天科技,watchlist,0,1,,光通信,6,4,10.591916,185937497040.96,143763554775.12,24977886000.0,18.372077,9.993943,58.22128,2026-06-09,54.48,48.224,44.516,43.8425,1.24263,8.115606,1,27.022616,34.58498,23.593466,,,,,,,7.498027,1,1.0,0.0,1,-14.005726,87.334689,0.65,5,4,34.71,51.84,24.9322,,8.0,15.0,15.0,5.0,-8.0,59.9322,,海缆/光通信,
2026-06-09,301511.SZ,德福科技,strong|watchlist,0,1,,锂电,1,1,27.469251,86228049600.0,47884613853.600006,5218309637.13,11.271129,11.1472,356.980233,2026-06-09,136.8,125.244,123.221,112.4555,1.216481,20.342765,1,7.699575,27.469251,45.717938,,,,,,,0.810612,1,0.850757,1.513158,1,-10.355839,100.658168,0.75,3,2,73.47,538.15,25.0,,8.1,15.0,5.0,5.0,0.0,58.1,,电子铜箔/锂电材料,
2026-06-09,300620.SZ,光库科技,watchlist,0,1,,光通信,6,4,10.591916,76909575214.25,38851293440.7,5626550600.0,14.674727,2.99663,365.254181,2026-06-09,308.65,316.988,301.522,285.3515,1.081648,9.810339,0,-3.552903,22.005692,17.994495,,,,,,,-14.199539,0,0.821103,1.082132,1,-12.81443,99.514073,0.55,7,5,60.8,368.17,12.9991,,6.0,15.0,15.0,5.0,0.0,53.9991,,光通信器件/激光器件,
2026-06-09,600105.SH,永鼎股份,strong|watchlist,0,1,,光通信,6,4,10.591916,83187504233.8,63298335752.7,8641443282.0,14.064747,7.3585,810.067325,2026-06-09,56.9,54.306,51.11,50.4075,1.1288,3.985518,1,14.671503,22.947277,8.753823,,,,,,,-4.722036,0,0.933842,0.456942,1,-16.44749,74.411916,0.7,7,2,41.92,-48.35,17.459,,6.6,11.0,15.0,5.0,-5.0,50.059,,光通信/铜缆连接,
2026-06-09,688519.SH,南亚新材,strong,0,0,,未分类,3,3,25.223962,69378230390.0,27197399625.0,2541429766.0,9.983195,16.3479,,2026-06-09,295.0,252.07,240.412,215.33,1.36999,14.565266,1,23.472292,45.859085,49.178255,,,,,,,11.827142,1,0.916169,1.284746,1,-10.372208,110.497124,0.7,6,2,,,25.0,,7.6,0.0,12.0,5.0,0.0,49.6,,-,
2026-06-09,002138.SZ,顺络电子,strong,0,0,,电感/磁性元件,1,1,35.614618,49370872815.42,41533569358.32,5756210081.37,14.31941,10.0072,,2026-06-09,61.23,54.17,51.415,45.775,1.33763,18.465321,1,25.342886,35.614618,64.596774,,,,,,,2.907563,1,1.0,0.0,1,-7.646475,81.86544,0.6,3,1,,,25.0,,11.8,2.0,5.0,5.0,0.0,48.8,,电感/磁性元件,
2026-06-09,601208.SH,东材科技,strong,0,0,,未分类,3,3,25.223962,60227107061.659996,45957425234.159996,5594635163.0,12.276001,10.0,,2026-06-09,59.62,57.334,54.249,51.796,1.151054,12.538838,1,16.105161,11.857411,26.179894,,,,,,,-1.454545,0,1.0,0.0,1,-12.199155,99.311715,0.6,5,3,,,23.0,,8.0,0.0,12.0,5.0,0.0,48.0,,-,
2026-06-09,002281.SZ,光迅科技,watchlist,0,1,,CPO,8,3,5.681157,169579376585.44,99123052543.64,11979698600.0,12.213635,1.560462,163.676227,2026-06-09,210.22,217.87,213.031,213.4815,0.984722,12.750046,0,-2.273256,1.693111,4.327543,,,,,,,-14.821718,0,0.701193,1.094092,0,-14.255499,85.073691,0.65,9,4,24.79,58.84,5.7213,,8.0,15.0,15.0,2.0,0.0,45.7213,,光模块/光器件/CPO,
2026-06-09,688126.SH,沪硅产业,strong,0,0,,未分类,3,3,25.223962,104868392259.89,56185989517.0,6515604968.0,12.303911,20.0076,,2026-06-09,31.73,28.158,27.776,27.3615,1.159659,10.053495,1,28.409551,17.95539,25.613618,,,,,,,0.379627,1,1.0,0.0,1,-19.274747,140.019089,0.55,4,5,,,25.0,,3.0,0.0,12.0,5.0,0.0,45.0,,-,
2026-06-09,688498.SH,源杰科技,watchlist,0,1,,CPO,8,3,5.681157,183638056075.0,130228472750.0,8978404400.0,7.081397,6.12427,515.770829,2026-06-09,1475.0,1392.9,1264.382,1250.827,1.17922,-9.141116,1,22.212924,41.677072,-14.789139,,,,,,,-16.519515,0,0.774293,2.371525,1,-39.224824,157.323281,0.65,4,3,320.94,1153.07,10.0,,4.0,15.0,15.0,5.0,-5.0,44.0,,高速光芯片/CPO,
2026-06-09,000988.SZ,华工科技,watchlist,0,1,,光模块,3,1,1.618468,156385836019.71,126592110440.79001,9936019000.0,7.976987,4.487739,92.02674,2026-06-09,155.53,154.866,154.408,153.9645,1.010168,7.850753,1,4.207705,-8.683654,7.88707,,,,,,,-11.530148,0,0.961595,0.16717,1,-16.790741,87.869228,0.65,5,5,27.13,58.38,13.3145,,6.0,15.0,2.0,5.0,0.0,41.3145,,光模块/激光装备/传感器,
2026-06-09,688313.SH,仕佳光子,strong|watchlist,0,1,,CPO,8,3,5.681157,72720080311.92,46467514371.81,3918848870.0,8.596077,7.7773,195.364078,2026-06-09,160.89,160.254,158.354,167.438,0.960893,0.889968,0,4.135922,-5.956278,-11.095762,,,,,,,-16.878487,0,0.883984,0.702343,1,-20.876149,96.942276,0.55,4,5,32.18,24.66,2.0,,4.0,15.0,15.0,5.0,0.0,41.0,,光芯片/PLC器件/CPO,
2026-06-09,301205.SZ,联特科技,strong|watchlist,0,1,,CPO,8,3,5.681157,45086040000.0,23615502300.0,3932931486.75,17.295585,12.6126,515.683978,2026-06-09,347.5,331.988,316.547,294.0065,1.181947,10.110464,1,2.199871,36.435022,23.445826,,,,,,,-7.308616,0,0.960526,0.431655,1,-17.469981,117.826777,0.5,5,5,-9.56,-83.71,20.9076,,3.0,7.0,15.0,5.0,-11.0,39.9076,异常波动,高速光模块/CPO,
2026-06-09,688008.SH,澜起科技,research|watchlist,1,1,2026-06-09,芯片,1,0,-13.1808,288928084964.4,254303992764.0,12350581500.0,4.910536,5.389862,112.967592,2026-06-09,236.4,242.734,246.245,253.854,0.931244,8.389427,0,-0.253165,-13.1808,-1.786456,,,,,,,-18.14121,0,0.732299,1.167513,1,-21.039848,74.076631,0.55,4,4,19.51,64.72,5.0,,4.0,25.0,0.0,4.0,0.0,38.0,,内存接口芯片/服务器芯片,
2026-06-09,603061.SH,金海通,watchlist,0,1,,半导体,3,2,8.063466,26635920000.000004,16609381453.28,645098520.0,3.960689,6.824843,114.136425,2026-06-09,306.16,300.898,297.481,307.2905,0.996321,4.563435,0,4.860088,-0.819592,-2.338193,,,,,,,-16.349727,0,0.903327,0.503005,1,-17.783069,80.749835,0.5,4,3,120.77,221.54,4.0,,4.0,15.0,9.0,5.0,0.0,37.0,,半导体测试分选设备,
