rank,fund_code,fund_name,fund_type_bucket,ytd_return_pct,rank_as_of,holding_report_date,holding_rank,stock_code,stock_name,weight_pct,shares_10k,market_value_10k
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,1,688525,佰维存储,9.58%,21.46,"2,463.74"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,2,301308,江波龙,8.89%,9.34,"2,286.81"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,3,688766,普冉股份,8.89%,17.97,"2,285.42"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,4,688031,星环科技,8.50%,20.20,"2,185.20"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,5,001309,德明利,7.90%,8.76,"2,030.43"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,6,300604,长川科技,7.63%,19.38,"1,963.39"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,7,300223,北京君正,6.28%,15.24,"1,616.05"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,8,688627,精智达,6.09%,7.01,"1,566.81"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,9,603929,亚翔集成,5.89%,15.85,"1,514.00"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,10,603986,兆易创新,5.21%,6.25,"1,339.06"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,11,300475,香农芯创,4.68%,8.34,"1,203.80"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,12,688249,晶合集成,4.48%,34.72,"1,152.37"
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,13,688228,开普云,3.35%,4.43,862.04
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,14,688376,美埃科技,2.71%,12.05,696.89
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,15,688809,强一股份,2.09%,2.09,537.14
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,16,688802,沐曦股份,0.08%,0.05,21.29
1,016873,广发远见智选混合A,混合型,77.37,2026-04-14,2025-12-31,17,688759,必贝特,0.04%,0.43,10.84
