排名,公司,代码,主营业务/看点,市值亿元,收盘价,PE_TTM,2025营收亿元,2025营收同比,2025归母净利亿元,2025净利同比,2026Q1营收亿元,2026Q1归母净利亿元,2026Q1净利同比
1,天孚通信,300394.SZ,光器件、光引擎零组件,3542.0181594803,324.71,163.08698857858,51.6343247116,58.7914,20.1767618069,50.25165289217,13.3027017536,4.9226982158,45.758832325749
2,三环集团,300408.SZ,电子陶瓷、MLCC、陶瓷封装,2878.9623507162,150.22,100.08099333406,90.0715389411,22.1311,26.169801544899997,19.484057089261,26.8099339334,7.9080513026,48.397910966866
3,亨通光电,600487.SH,光通信/CPO/海缆,2651.371676275,107.5,82.115041106571,668.5485438079,11.4541,28.4872656185,-4.0949197320832,177.9056006979,11.8193681275,99.379950280451
4,宏和科技,603256.SH,电子级玻璃纤维布,2275.4872023975,251.55,731.03109603514,11.7103377805,40.3053,2.0191333703,785.54853822409,4.421004,1.4023075090000001,354.21558763362
5,中天科技,600522.SH,海缆/光通信,1848.112236558,54.15,57.868618500933,524.9985749333999,9.2369,29.3526270869,3.7415314589218,131.42208087219998,9.4742125702,51.835335866058
6,光库科技,300620.SZ,光通信器件/激光器件,978.0087210705001,392.49,464.46983162765,14.739660748,47.5629,1.8037362429,148.8299334992,4.2646540222,0.4228304813,368.17253690358
7,华润微,688396.SH,功率半导体、晶圆制造与封测,952.9911629,71.75,105.03255831991,110.5379200748,9.2431,5.5453707184,-16.195459410851,28.5720819523,3.0199547767,481.39144924811
8,英维克,002837.SZ,数据中心/储能温控、液冷设备,932.6965395748,73.19,193.28018640622,60.677590915500005,32.2292,5.4267998086,19.501373674372,11.753293136099998,0.1416106209,-73.959994109861
9,永鼎股份,600105.SH,光通信/铜缆连接,860.8225394176001,58.88,838.25595961817,52.8682289202,28.5968,2.0819163634,188.558313803,12.456692714,1.4748776219,-48.353654018103
10,长芯博创,300548.SZ,光模块/光器件,834.7565611240001,283.3,222.47339846464,25.326393696700002,44.9332,5.7962186497,175.05554214206,6.706055700199999,2.1352269564,38.253116343564
11,风华高科,000636.SZ,MLCC、片式电阻电感等被动元件,816.9670282871001,70.61,265.85199737132,57.5640816514,16.5443,2.8534168933,-13.780353773803,15.146980514400001,0.890796045,37.617732094711
12,仕佳光子,688313.SH,光芯片/PLC器件/CPO,781.5295597447999,172.91,209.95961672632,21.2912477413,98.1452,3.7222851324,473.24709734011,5.7659298536,1.1617590284000001,24.659751045736
13,远东股份,600869.SH,电线电缆/储能,754.57993364,34.0,688.67632336113,281.07630472150004,7.7182,0.4343441584,113.20823954183,53.249249920100006,0.9516132623000001,114.70099982134
14,东材科技,601208.SH,绝缘薄膜、电子树脂与先进材料,724.7052433081999,71.74,253.89074094596,51.8121327179,15.9081,2.6963788328,75.240688487395,14.4357155258,1.8393789559,109.24014592851
15,太辰光,300570.SZ,高速光模块/光器件,598.0023281243001,263.29,209.55121600709,15.4675834774,12.2614,3.0759024785,14.002474415061,3.4076451164,0.6739099084000001,-17.241868670823
16,圣泉集团,605589.SH,酚醛树脂、电子化学品、生物质材料,567.5881267588001,67.06,58.084408539204,109.3580289496,9.1446,10.3286432442,15.905832493791,26.7077810722,1.8518887371000001,-14.340473742096
17,联瑞新材,688300.SH,电子封装材料/球形硅微粉,531.232218,220.0,176.34641781501,11.1550353499,16.1547,2.9264473472000003,16.41786889305,2.9396087987,0.7163651987,13.640758220897
18,顺络电子,002138.SZ,电感/磁性元件,494.19251916659994,61.29,51.17202974073,67.4529138199,14.3869,11.4076295845,20.04335466518,16.8482250972,1.9779202412999999,-24.10130709524
19,杰普特,688025.SH,激光器/激光装备,426.71487961620005,448.94,125.34920021207,20.7402430624,42.6577,2.7848252557,124.51968623205,6.6086247064,0.9660200975,167.61732473492
20,铂科新材,300811.SZ,软磁材料/金属磁粉芯,387.98636688,95.6,89.626201080919,18.0223700634,8.3765,4.2612401625,14.004501554378,4.895926455400001,0.8851907037000001,20.553282876991
21,腾景科技,688195.SH,光学元件/CPO,386.880676,213.64,537.21370236648,5.8554313112,31.5411,0.7451509426,9.5162062358315,1.7117101757,0.18201292489999998,31.121724792274
22,洁美科技,002859.SZ,电子元器件薄型载带、离型膜,383.79164552,89.0,164.12107089658,21.004119657,15.5967,2.0349974576,0.67253620873956,5.0737843843,0.454340584,41.716157434943
23,科翔股份,300903.SZ,PCB,356.14620853400004,81.8,-134.36141477628,37.2043892945,9.558,-2.6548119788999998,26.917456204584,9.5400518378,-0.5493683164000001,-48.211690091582
24,致尚科技,301486.SZ,精密连接器/光通信,328.13653725,255.0,509.32490297734,9.983157761000001,2.479,1.0962667513,-4.9931695370562,2.6597211022,0.0061272157999999995,-98.373582965117
25,杭电股份,603618.SH,电线电缆、光通信设备,325.1539522048,47.03,-135.97453490964,94.5129017371,6.7767,-2.9401675786,-304.52140550077,22.0246029529,0.8113194828,253.69779465701
26,通鼎互联,002491.SZ,光通信线缆/网络设备,321.0285645,26.1,-204.78523139928,34.1299504757,17.0802,-0.6615331625,-187.06782181267,10.6361514281,0.6437354059,-50.787006662192
27,飞荣达,300602.SZ,电磁屏蔽、导热散热材料与器件,281.62190060399996,48.4,73.309741443484,65.2668574876,24.743,3.5946066707999997,50.919451238549,16.4371411975,0.7883119712000001,26.765642676404
28,长盈通,688143.SH,特种光纤/光器件,280.74214836,218.0,1173.2405815449,3.9797601192000003,20.3227,0.2410715891,43.905652446753,0.8479913188,0.0533214061,-33.507764064464
29,三孚股份,603938.SH,三氯氢硅、电子级硅烷及精细化工,219.9325608756,57.48,238.67513041343,20.9696823683,18.4886,0.7999758306,30.841071441297,6.4719051326,0.388012985,44.063801670004
30,麦捷科技,300319.SZ,射频器件、电感、滤波器,201.1275142184,22.66,66.791283417626,37.9389257042,20.4416,3.1727534076999997,-6.8944485662519,8.6428292914,0.4764797631,-24.77266255904
31,瑞松科技,688090.SH,机器人自动化产线、智能制造装备,151.6042722896,123.89,504.8961933992,9.448956193999999,6.5533,0.13534076650000001,-8.1874010899787,2.0205701432,0.197887793,584.85437030091
32,美迪凯,688079.SH,光学光电子元件、半导体零部件,109.55045142360001,26.62,-60.178781478704,6.6379606489,36.7211,-1.6055209084,-50.517038018956,1.6933415466,-0.4223225285,-163.63780057953
33,凯伦股份,300715.SZ,建筑防水材料、防水工程服务,72.057364958,19.06,254.88795850714,24.1019298515,1.2643,0.3847498157,107.06030402202,5.2307622765,0.21035363079999997,246.31988273395
