trade_date,code,name,day_chg_pct,day_amount_yi,market_cap_yi,next_trade_date,next_day_chg_pct
2026-03-02,000930,中粮科技,5.0222,5.8953,125.4955,2026-03-03,1.4065
2026-03-02,688270,臻镭科技,5.0741,3448.9770,322.7898,2026-03-03,-13.6081
2026-03-02,601020,华钰矿业,5.1136,33.1593,230.8201,2026-03-03,-7.5430
2026-03-02,000786,北新建材,5.3233,11.5003,448.7094,2026-03-03,-1.6282
2026-03-02,000811,冰轮环境,5.3405,12.8593,171.8972,2026-03-03,-6.7442
2026-03-02,600967,内蒙一机,5.4179,15.4050,252.3761,2026-03-03,-5.3581
2026-03-02,600598,北大荒,5.4726,13.7149,297.7614,2026-03-03,-0.9434
2026-03-02,002149,西部材料,5.7198,64.6484,268.4690,2026-03-03,-10.0036
2026-03-02,301050,雷电微力,5.7953,14.9502,114.9537,2026-03-03,-7.7304
2026-03-02,688195,腾景科技,5.8098,1790.6294,343.4113,2026-03-03,1.5582
2026-03-02,001896,豫能控股,5.9970,34.8487,219.4074,2026-03-03,-6.0820
2026-03-02,002465,海格通信,6.0589,71.6183,375.2533,2026-03-03,-9.6636
2026-03-02,002851,麦格米特,6.1136,39.4711,560.5034,2026-03-03,-4.0073
2026-03-02,601233,桐昆股份,6.1342,13.6117,426.5550,2026-03-03,-6.9046
2026-03-02,603530,神马电力,6.1492,12.8708,242.8657,2026-03-03,-4.3369
2026-03-02,600188,兖矿能源,6.3770,27.3744,1950.2825,2026-03-03,8.7533
2026-03-02,002911,佛燃能源,6.3900,2.9404,188.3970,2026-03-03,10.0310
2026-03-02,002384,东山精密,6.4056,80.6461,1850.4731,2026-03-03,4.2294
2026-03-02,000791,甘肃能源,6.4851,13.1841,249.7757,2026-03-03,-3.0451
2026-03-02,002353,杰瑞股份,6.5831,40.5621,990.5805,2026-03-03,-1.6161
2026-03-02,002796,世嘉科技,6.7469,12.6686,114.8270,2026-03-03,-5.8192
2026-03-02,600549,厦门钨业,6.7712,76.7863,881.1101,2026-03-03,0.9079
2026-03-02,300308,中际旭创,6.8502,281.3547,6229.5961,2026-03-03,-1.1883
2026-03-02,603162,海通发展,7.0106,6.9952,122.8601,2026-03-03,-6.0569
2026-03-02,688543,国科军工,7.1664,1458.1979,139.7780,2026-03-03,2.3091
2026-03-02,601126,四方股份,7.4570,15.6744,360.4291,2026-03-03,-3.8438
2026-03-02,601606,长城军工,7.4653,35.1311,297.2958,2026-03-03,-5.0889
