date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,0.0,1020741.024,1020741.024,10,2026-04-28
2026-04-29,signal_close,0.0,1020741.024,1020741.024,10,2026-04-29
2026-04-30,after_trade,10511.7222,974730.6619,985242.3841,10,2026-04-29
2026-04-30,signal_close,10511.7222,974730.6619,985242.3841,10,2026-04-30
2026-05-06,after_trade,10511.7222,1084661.2304,1095172.9525,10,2026-04-30
2026-05-07,signal_close,10511.7222,1167759.7335,1178271.4557,10,2026-05-07
2026-05-08,after_trade,10511.7222,1185231.7865,1195743.5086,10,2026-05-07
2026-05-08,signal_close,10511.7222,1185231.7865,1195743.5086,10,2026-05-09
2026-05-11,after_trade,28371.3024,1208155.1925,1236526.4949,10,2026-05-09
2026-05-11,signal_close,28371.3024,1208155.1925,1236526.4949,10,2026-05-11
2026-05-12,after_trade,13757.1762,1207609.0799,1221366.2562,10,2026-05-11
2026-05-12,signal_close,13757.1762,1207609.0799,1221366.2562,10,2026-05-12
2026-05-13,after_trade,13757.1762,1260177.6173,1273934.7935,10,2026-05-12
2026-05-13,signal_close,13757.1762,1260177.6173,1273934.7935,10,2026-05-13
2026-05-14,after_trade,13757.1762,1237042.2232,1250799.3994,10,2026-05-13
2026-05-14,signal_close,13757.1762,1237042.2232,1250799.3994,10,2026-05-14
2026-05-15,after_trade,7158.6804,1186149.9392,1193308.6196,10,2026-05-14
2026-05-19,signal_close,7158.6804,1175747.9632,1182906.6436,10,2026-05-19
2026-05-20,after_trade,0.0,1193446.058,1193446.058,10,2026-05-19
2026-05-21,signal_close,0.0,1127635.4762,1127635.4762,10,2026-05-21
2026-05-22,after_trade,0.0,1169576.4665,1169576.4665,10,2026-05-21
2026-05-22,signal_close,0.0,1169576.4665,1169576.4665,10,2026-05-22
2026-05-25,after_trade,0.0,1192842.4403,1192842.4403,10,2026-05-22
2026-05-25,signal_close,0.0,1192842.4403,1192842.4403,10,2026-05-25
2026-05-26,after_trade,0.0,1152819.6672,1152819.6672,10,2026-05-25
2026-05-27,signal_close,0.0,1125649.7844,1125649.7844,10,2026-05-27
2026-05-28,after_trade,760.1995,1138980.8028,1139741.0022,10,2026-05-27
2026-05-29,signal_close,760.1995,1096643.0959,1097403.2954,10,2026-05-29
2026-06-01,after_trade,216288.8204,840455.6944,1056744.5147,8,2026-05-29
2026-06-01,signal_close,216288.8204,840455.6944,1056744.5147,8,2026-06-04
2026-06-02,after_trade,462565.4618,634309.5037,1096874.9655,6,2026-06-04
2026-06-05,signal_close,462565.4618,640229.2664,1102794.7282,6,2026-06-05
2026-06-08,after_trade,328672.3429,775643.4368,1104315.7798,7,2026-06-05
2026-06-08,signal_close,328672.3429,775643.4368,1104315.7798,7,2026-06-08
2026-06-09,after_trade,407653.4513,764256.2448,1171909.6962,6,2026-06-08
2026-06-09,signal_close,407653.4513,764256.2448,1171909.6962,6,2026-06-09
2026-06-10,after_trade,60880.5091,1093804.7028,1154685.2119,9,2026-06-09
2026-06-10,signal_close,60880.5091,1093804.7028,1154685.2119,9,2026-06-10
2026-06-11,after_trade,0.0,1151056.5415,1151056.5415,10,2026-06-10
2026-06-11,signal_close,0.0,1151056.5415,1151056.5415,10,2026-06-11
2026-06-12,after_trade,0.0,1136797.152,1136797.152,10,2026-06-11
2026-06-12,signal_close,0.0,1136797.152,1136797.152,10,2026-06-13
2026-06-15,after_trade,0.0,1182318.2018,1182318.2018,10,2026-06-13
2026-06-15,signal_close,0.0,1182318.2018,1182318.2018,10,2026-06-15
2026-06-16,after_trade,0.0,1237283.5627,1237283.5627,10,2026-06-15
2026-06-16,signal_close,0.0,1237283.5627,1237283.5627,10,2026-06-16
2026-06-17,after_trade,0.0,1246697.9765,1246697.9765,10,2026-06-16
2026-06-17,signal_close,0.0,1246697.9765,1246697.9765,10,2026-06-17
2026-06-18,after_trade,2478.479,1257570.6206,1260049.0996,10,2026-06-17
2026-06-18,signal_close,2478.479,1257570.6206,1260049.0996,10,2026-06-18
2026-06-19,after_trade,2478.479,1257570.6206,1260049.0996,10,2026-06-18
