date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,300000.0,709786.2668,1009786.2668,7,2026-04-28
2026-04-29,signal_close,300000.0,709786.2668,1009786.2668,7,2026-04-29
2026-04-30,after_trade,1315.2867,998662.9868,999978.2735,10,2026-04-29
2026-04-30,signal_close,1315.2867,998662.9868,999978.2735,10,2026-04-30
2026-05-06,after_trade,1315.2867,1108386.4965,1109701.7832,10,2026-04-30
2026-05-07,signal_close,1315.2867,1159648.3894,1160963.6761,10,2026-05-07
2026-05-08,after_trade,1315.2867,1183850.9315,1185166.2182,10,2026-05-07
2026-05-08,signal_close,1315.2867,1183850.9315,1185166.2182,10,2026-05-09
2026-05-11,after_trade,18677.1299,1222830.057,1241507.187,10,2026-05-09
2026-05-11,signal_close,18677.1299,1222830.057,1241507.187,10,2026-05-11
2026-05-12,after_trade,18677.1299,1209596.8953,1228274.0252,10,2026-05-11
2026-05-12,signal_close,18677.1299,1209596.8953,1228274.0252,10,2026-05-12
2026-05-13,after_trade,0.0,1261901.2427,1261901.2427,10,2026-05-12
2026-05-13,signal_close,0.0,1261901.2427,1261901.2427,10,2026-05-13
2026-05-14,after_trade,136412.5299,1096615.9537,1233028.4836,9,2026-05-13
2026-05-14,signal_close,136412.5299,1096615.9537,1233028.4836,9,2026-05-14
2026-05-15,after_trade,8608.5018,1164591.1946,1173199.6964,10,2026-05-14
2026-05-19,signal_close,8608.5018,1149012.3649,1157620.8667,10,2026-05-19
2026-05-20,after_trade,0.0,1166946.6572,1166946.6572,10,2026-05-19
2026-05-21,signal_close,0.0,1096596.0092,1096596.0092,10,2026-05-21
2026-05-22,after_trade,83536.5744,1053678.765,1137215.3394,9,2026-05-21
2026-05-22,signal_close,83536.5744,1053678.765,1137215.3394,9,2026-05-22
2026-05-25,after_trade,0.0,1145067.5352,1145067.5352,10,2026-05-22
2026-05-25,signal_close,0.0,1145067.5352,1145067.5352,10,2026-05-25
2026-05-26,after_trade,0.0,1105929.745,1105929.745,10,2026-05-25
2026-05-27,signal_close,0.0,1079414.6056,1079414.6056,10,2026-05-27
2026-05-28,after_trade,5374.7453,1088094.1296,1093468.8749,10,2026-05-27
2026-05-29,signal_close,5374.7453,1047513.2545,1052887.9998,10,2026-05-29
2026-06-01,after_trade,214265.2773,799823.4254,1014088.7027,8,2026-05-29
2026-06-01,signal_close,214265.2773,799823.4254,1014088.7027,8,2026-06-04
2026-06-02,after_trade,446703.7521,605788.2434,1052491.9955,6,2026-06-04
2026-06-05,signal_close,446703.7521,611368.1385,1058071.8906,6,2026-06-05
2026-06-08,after_trade,311037.8711,748568.5081,1059606.3792,7,2026-06-05
2026-06-08,signal_close,311037.8711,748568.5081,1059606.3792,7,2026-06-08
2026-06-09,after_trade,391206.4442,733373.1893,1124579.6335,6,2026-06-08
2026-06-09,signal_close,391206.4442,733373.1893,1124579.6335,6,2026-06-09
2026-06-10,after_trade,169361.0746,931314.2091,1100675.2836,8,2026-06-09
2026-06-10,signal_close,169361.0746,931314.2091,1100675.2836,8,2026-06-10
2026-06-11,after_trade,60472.253,1044135.7886,1104608.0416,9,2026-06-10
2026-06-11,signal_close,60472.253,1044135.7886,1104608.0416,9,2026-06-11
2026-06-12,after_trade,60472.253,1024490.4817,1084962.7347,9,2026-06-11
2026-06-12,signal_close,60472.253,1024490.4817,1084962.7347,9,2026-06-13
2026-06-15,after_trade,54561.0599,1074244.4443,1128805.5042,9,2026-06-13
2026-06-15,signal_close,54561.0599,1074244.4443,1128805.5042,9,2026-06-15
2026-06-16,after_trade,0.0,1187754.2698,1187754.2698,10,2026-06-15
2026-06-16,signal_close,0.0,1187754.2698,1187754.2698,10,2026-06-16
2026-06-17,after_trade,0.0,1196904.6875,1196904.6875,10,2026-06-16
2026-06-17,signal_close,0.0,1196904.6875,1196904.6875,10,2026-06-17
2026-06-18,after_trade,2093.836,1216454.3985,1218548.2345,10,2026-06-17
2026-06-18,signal_close,2093.836,1216454.3985,1218548.2345,10,2026-06-18
2026-06-19,after_trade,2093.836,1216454.3985,1218548.2345,10,2026-06-18
