code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
688449.SH,联芸科技,906.467065,2026-05-06,58.1,63.5,66.67,60434.1593,14.7504
600487.SH,亨通光电,701.187936,2026-06-01,75.24,56.655,111.01,77838.8728,47.5412
600522.SH,中天科技,1208.861633,2026-06-08,44.0,51.1068,56.55,68361.1253,28.5227
002138.SZ,顺络电子,984.998367,2026-06-08,54.0,46.8,61.23,60311.45,13.3889
688519.SH,南亚新材,210.46814,2026-06-09,264.0,54.6,295.0,62088.1012,11.7424
301205.SZ,联特科技,158.293542,2026-06-10,350.06,45.9076,361.02,57147.1344,3.1309
300666.SZ,江丰电子,214.967258,2026-06-11,255.13,55.0,292.4,62856.4261,14.6082
688772.SH,珠海冠宇,2980.746744,2026-06-15,18.85,47.0,21.72,64741.8193,15.2255
688498.SH,源杰科技,39.552795,2026-06-16,1460.0,70.1,1673.36,66186.0649,14.6137
603061.SH,金海通,170.094494,2026-06-16,339.5,52.0799,350.8,59669.1483,3.3284
600392.SH,盛和资源,2015.840475,2026-06-17,29.03,53.6,31.66,63821.5094,9.0596
002281.SZ,光迅科技,244.650767,2026-06-18,241.99,62.3948,266.2,65126.0342,10.0045
000988.SZ,华工科技,335.084831,2026-06-19,177.55,56.5537,177.55,59494.3117,0.0
003031.SZ,中瓷电子,337.479787,2026-06-19,176.29,50.0807,176.29,59494.3117,0.0
