code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
600487.SH,亨通光电,1339.643736,2026-06-01,75.24,56.655,111.01,148713.8511,47.5412
301511.SZ,德福科技,812.861247,2026-06-01,124.0,46.6,160.9,130789.3747,29.7581
600522.SH,中天科技,2344.734021,2026-06-08,44.0,51.1068,56.55,132594.7089,28.5227
002138.SZ,顺络电子,1910.524017,2026-06-08,54.0,46.8,61.23,116981.3856,13.3889
688519.SH,南亚新材,420.472134,2026-06-09,264.0,54.6,295.0,124039.2796,11.7424
301205.SZ,联特科技,316.393047,2026-06-10,350.06,45.9076,361.02,114224.2178,3.1309
300666.SZ,江丰电子,426.158166,2026-06-11,255.13,55.0,292.4,124608.6478,14.6082
688772.SH,珠海冠宇,5963.224781,2026-06-15,18.85,47.0,21.72,129521.2422,15.2255
688498.SH,源杰科技,37.314617,2026-06-16,1460.0,70.1,1673.36,62440.7876,14.6137
002281.SZ,光迅科技,497.899711,2026-06-18,241.99,62.3948,266.2,132540.9031,10.0045
