date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-04-29,BUY,002730.SZ,电光科技,30.4,3284.546864,99850.2247,149.7753,900000.0,top_score,,,,2026-04-28
2026-04-29,BUY,002281.SZ,光迅科技,132.53,753.416016,99850.2247,149.7753,800000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688008.SH,澜起科技,171.0,583.919442,99850.2247,149.7753,700000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688498.SH,源杰科技,1428.8,69.883976,99850.2247,149.7753,600000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688041.SH,海光信息,284.72,350.696209,99850.2247,149.7753,500000.0,top_score,,,,2026-04-28
2026-04-29,BUY,000977.SZ,浪潮信息,70.48,1416.717149,99850.2247,149.7753,400000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600522.SH,中天科技,34.2,2919.597212,99850.2247,149.7753,300000.0,top_score,,,,2026-04-28
2026-04-29,BUY,603629.SH,利通电子,130.99,762.273644,99850.2247,149.7753,200000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600487.SH,亨通光电,67.0,1490.301861,99850.2247,149.7753,100000.0,top_score,,,,2026-04-28
2026-04-29,BUY,301396.SZ,宏景科技,296.0,337.33184,99850.2247,149.7753,0.0,top_score,,,,2026-04-28
2026-04-30,SELL,603629.SH,利通电子,142.32,762.273644,108486.7851,162.7302,108324.0549,risk_flag,2026-04-29,130.99,8.6495,2026-04-29
2026-04-30,BUY,301511.SZ,德福科技,69.9,1397.222231,97665.834,146.4988,10511.7222,top_score,,,,2026-04-29
2026-05-11,SELL,002281.SZ,光迅科技,188.0,753.416016,141642.2111,212.4633,151941.4699,risk_flag,2026-04-29,132.53,41.8547,2026-05-08
2026-05-11,BUY,300620.SZ,光库科技,263.9,467.544865,123385.0899,185.0776,28371.3024,top_score,,,,2026-05-08
2026-05-15,SELL,000977.SZ,浪潮信息,71.6,1416.717149,101436.9479,152.1554,129656.0948,below_ma20,2026-04-29,70.48,1.5891,2026-05-14
2026-05-15,BUY,001309.SZ,德明利,722.01,163.515956,118060.1552,177.0902,11418.8494,top_score,,,,2026-05-14
2026-05-20,SELL,688498.SH,源杰科技,1065.0,69.883976,74426.4343,111.6397,85733.644,below_ma20,2026-04-29,1428.8,-25.4619,2026-05-19
