date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-04-29,BUY,002730.SZ,电光科技,30.4,1642.273432,49925.1123,74.8877,950000.0,top_score,,,,2026-04-28
2026-04-29,BUY,002281.SZ,光迅科技,132.53,376.708008,49925.1123,74.8877,900000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688008.SH,澜起科技,171.0,291.959721,49925.1123,74.8877,850000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688498.SH,源杰科技,1428.8,34.941988,49925.1123,74.8877,800000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688041.SH,海光信息,284.72,175.348105,49925.1123,74.8877,750000.0,top_score,,,,2026-04-28
2026-04-29,BUY,000977.SZ,浪潮信息,70.48,708.358575,49925.1123,74.8877,700000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600522.SH,中天科技,34.2,1459.798606,49925.1123,74.8877,650000.0,top_score,,,,2026-04-28
2026-04-29,BUY,603629.SH,利通电子,130.99,381.136822,49925.1123,74.8877,600000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600487.SH,亨通光电,67.0,745.15093,49925.1123,74.8877,550000.0,top_score,,,,2026-04-28
2026-04-29,BUY,301396.SZ,宏景科技,296.0,168.66592,49925.1123,74.8877,500000.0,top_score,,,,2026-04-28
2026-04-30,SELL,603629.SH,利通电子,142.32,381.136822,54243.3925,81.3651,554162.0274,risk_flag,2026-04-29,130.99,8.6495,2026-04-29
2026-04-30,BUY,301511.SZ,德福科技,69.9,706.423672,49379.0147,74.0685,504708.9443,top_score,,,,2026-04-29
2026-04-30,BUY,000988.SZ,华工科技,118.86,415.438454,49379.0147,74.0685,455255.8611,top_score,,,,2026-04-29
2026-04-30,BUY,688313.SH,仕佳光子,134.7,366.585113,49379.0147,74.0685,405802.7779,top_score,,,,2026-04-29
2026-05-06,BUY,001309.SZ,德明利,570.0,92.50824,52729.6969,79.0945,352993.9864,top_score,,,,2026-04-30
2026-05-06,BUY,688449.SH,联芸科技,58.1,907.567933,52729.6969,79.0945,300185.195,top_score,,,,2026-04-30
2026-05-06,BUY,688110.SH,东芯股份,145.67,361.980483,52729.6969,79.0945,247376.4035,top_score,,,,2026-04-30
2026-05-06,BUY,300136.SZ,信维通信,92.0,573.14888,52729.6969,79.0945,194567.612,top_score,,,,2026-04-30
2026-05-06,BUY,688536.SH,思瑞浦,274.5,192.093614,52729.6969,79.0945,141758.8206,top_score,,,,2026-04-30
2026-05-11,SELL,002281.SZ,光迅科技,188.0,376.708008,70821.1055,106.2317,212473.6945,risk_flag,2026-04-29,132.53,41.8547,2026-05-08
2026-05-11,BUY,300620.SZ,光库科技,263.9,223.644407,59019.7589,88.5296,153365.4059,top_score,,,,2026-05-08
2026-05-11,BUY,002202.SZ,金风科技,28.9,2042.20619,59019.7589,88.5296,94257.1174,top_score,,,,2026-05-08
2026-05-11,BUY,603296.SH,华勤技术,120.0,491.831324,59019.7589,88.5296,35148.8289,top_score,,,,2026-05-08
2026-05-11,BUY,003031.SZ,中瓷电子,149.67,234.490443,35096.1846,52.6443,0.0,top_score,,,,2026-05-08
2026-05-12,SELL,301396.SZ,宏景科技,320.0,168.66592,53973.0944,80.9596,53892.1348,rank_decay,2026-04-29,296.0,8.1081,2026-05-11
2026-05-12,BUY,600105.SH,永鼎股份,51.63,1042.250971,53811.4176,80.7171,0.0,top_score,,,,2026-05-11
2026-05-14,SELL,688110.SH,东芯股份,166.2,361.980483,60161.1562,90.2417,60070.9145,rank_decay,2026-05-06,145.67,14.0935,2026-05-13
2026-05-14,SELL,688536.SH,思瑞浦,302.0,192.093614,58012.2713,87.0184,117996.1674,rank_decay,2026-05-06,274.5,10.0182,2026-05-13
2026-05-14,BUY,688205.SH,德科立,296.33,198.653468,58866.9823,88.3005,59040.8846,top_score,,,,2026-05-13
2026-05-15,SELL,000977.SZ,浪潮信息,71.6,708.358575,50718.4739,76.0777,109683.2808,below_ma20,2026-04-29,70.48,1.5891,2026-05-14
2026-05-15,SELL,301511.SZ,德福科技,95.12,706.423672,67195.0197,100.7925,176777.508,rank_decay,2026-04-30,69.9,36.0801,2026-05-14
2026-05-15,SELL,300136.SZ,信维通信,103.8,573.14888,59492.8537,89.2393,236181.1224,rank_decay,2026-05-06,92.0,12.8261,2026-05-14
2026-05-15,SELL,002202.SZ,金风科技,25.9,2042.20619,52893.1403,79.3397,288994.923,below_ma20,2026-05-11,28.9,-10.3806,2026-05-14
2026-05-15,BUY,688307.SH,中润光学,131.18,434.363687,56979.8285,85.4697,231929.6248,top_score,,,,2026-05-14
2026-05-20,SELL,688498.SH,源杰科技,1065.0,34.941988,37213.2171,55.8198,269087.0221,below_ma20,2026-04-29,1428.8,-25.4619,2026-05-19
2026-05-20,SELL,603296.SH,华勤技术,107.9,491.831324,53068.5999,79.6029,322076.0191,rank_decay,2026-05-11,120.0,-10.0833,2026-05-19
2026-05-20,SELL,688307.SH,中润光学,89.39,434.363687,38827.77,58.2417,360845.5474,below_ma20,2026-05-15,131.18,-31.857,2026-05-19
2026-05-20,BUY,002281.SZ,光迅科技,229.01,247.017151,56569.3977,84.8541,304191.2956,top_score,,,,2026-05-19
2026-05-20,BUY,603629.SH,利通电子,172.99,327.00964,56569.3977,84.8541,247537.0438,top_score,,,,2026-05-19
