date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-04-29,BUY,002730.SZ,电光科技,30.4,3284.546864,99850.2247,149.7753,900000.0,top_score,,,,2026-04-28
2026-04-29,BUY,002281.SZ,光迅科技,132.53,753.416016,99850.2247,149.7753,800000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688008.SH,澜起科技,171.0,583.919442,99850.2247,149.7753,700000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688498.SH,源杰科技,1428.8,69.883976,99850.2247,149.7753,600000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688041.SH,海光信息,284.72,350.696209,99850.2247,149.7753,500000.0,top_score,,,,2026-04-28
2026-04-29,BUY,000977.SZ,浪潮信息,70.48,1416.717149,99850.2247,149.7753,400000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600522.SH,中天科技,34.2,2919.597212,99850.2247,149.7753,300000.0,top_score,,,,2026-04-28
2026-04-30,BUY,301511.SZ,德福科技,69.9,1422.20962,99412.4524,149.1187,200438.4289,top_score,,,,2026-04-29
2026-04-30,BUY,600487.SH,亨通光电,67.7,1468.426181,99412.4524,149.1187,100876.8578,top_score,,,,2026-04-29
2026-04-30,BUY,000988.SZ,华工科技,118.86,836.38274,99412.4524,149.1187,1315.2867,top_score,,,,2026-04-29
2026-05-11,SELL,002281.SZ,光迅科技,188.0,753.416016,141642.2111,212.4633,142745.0345,risk_flag,2026-04-29,132.53,41.8547,2026-05-08
2026-05-11,BUY,300620.SZ,光库科技,263.9,469.428122,123882.0814,185.8231,18677.1299,top_score,,,,2026-05-08
2026-05-13,SELL,000977.SZ,浪潮信息,72.66,1416.717149,102938.668,154.408,121461.39,rank_decay,2026-04-29,70.48,3.0931,2026-05-12
2026-05-13,BUY,688205.SH,德科立,292.58,414.517297,121279.4708,181.9192,0.0,top_score,,,,2026-05-12
2026-05-14,SELL,301511.SZ,德福科技,96.06,1422.20962,136617.4561,204.9262,136412.5299,rank_decay,2026-04-30,69.9,37.4249,2026-05-13
2026-05-15,SELL,688041.SH,海光信息,320.0,350.696209,112222.7869,168.3342,248466.9826,rank_decay,2026-04-29,284.72,12.3911,2026-05-14
2026-05-15,SELL,000988.SZ,华工科技,138.1,836.38274,115504.4563,173.2567,363798.1823,rank_decay,2026-04-30,118.86,16.1871,2026-05-14
