section,metric,horizon,observations,avg_return_pct,win_rate_pct,avg_max_drawdown_pct,worst_return_pct
topn,top10,5,240,5.059149676387479,58.75,-3.5136495577764877,-38.30155979202773
topn,top20,5,480,4.249039086267772,58.54166666666667,-3.860367462674437,-38.30155979202773
score_group,group1,5,264,5.091117365578619,59.09090909090909,,-38.30155979202773
score_group,group2,5,249,2.856590332567818,57.028112449799195,,-32.84037200792804
score_group,group3,5,247,2.7666930899747006,56.2753036437247,,-43.76199616122841
score_group,group4,5,249,1.8650920999003477,48.19277108433735,,-40.859053856336644
score_group,group5,5,240,2.27452511161177,51.66666666666667,,-28.37084291989124
rank_ic,final_score_v0,5,24,0.10635637397040643,79.16666666666666,,-0.20685321893450412
rank_ic,trend_relative_score_35,5,24,0.14708720441271286,79.16666666666666,,-0.1465164088453532
rank_ic,quality_score_15,5,24,0.03694384260501143,54.166666666666664,,-0.20880901478623243
rank_ic,research_score_25,5,24,0.0924603380809565,66.66666666666666,,-0.09039608248450347
rank_ic,theme_score_20,5,24,0.034621408646923583,62.5,,-0.26625162125106544
rank_ic,entry_timing_score_5,5,23,0.011279116944225967,43.47826086956522,,-0.2678081411383775
rank_ic,risk_penalty,5,24,0.03444244570666112,58.333333333333336,,-0.19685262450417074
topn,top10,10,190,5.198428977773578,55.26315789473685,-7.014421120844741,-39.85557481224726
topn,top20,10,380,4.356658555863422,54.473684210526315,-7.324925994827871,-42.185825807439144
score_group,group1,10,208,5.049966125434486,55.28846153846154,,-39.85557481224726
score_group,group2,10,196,2.6081590460357607,52.55102040816326,,-44.29530201342282
score_group,group3,10,191,1.1638504548641373,42.40837696335078,,-47.40882917466411
score_group,group4,10,196,1.2986968548642261,46.93877551020408,,-44.600431965442766
score_group,group5,10,189,0.6361092867581037,42.32804232804233,,-32.902408111533596
rank_ic,final_score_v0,10,19,0.15516507535255147,89.47368421052632,,-0.019161871788097102
rank_ic,trend_relative_score_35,10,19,0.24064033808299748,89.47368421052632,,-0.08571356258161605
rank_ic,quality_score_15,10,19,0.08738504484561704,68.42105263157895,,-0.1086956967646138
rank_ic,research_score_25,10,19,0.11000821046826709,78.94736842105263,,-0.14723674684338578
rank_ic,theme_score_20,10,19,0.02668536645188767,63.1578947368421,,-0.20865841042915417
rank_ic,entry_timing_score_5,10,18,0.056845388185728075,50.0,,-0.19077506211934261
rank_ic,risk_penalty,10,19,-0.01065680633152164,63.1578947368421,,-0.2630389022517571
topn,top10,20,130,7.60260883788588,56.15384615384615,-11.778030248773113,-51.4272108462422
topn,top20,20,260,3.9411046121667344,52.307692307692314,-12.808192239471994,-52.347826086956516
score_group,group1,20,141,6.82140318408845,53.90070921985816,,-51.4272108462422
score_group,group2,20,132,-0.011400827353223281,48.484848484848484,,-52.347826086956516
score_group,group3,20,131,-3.137631036291162,38.16793893129771,,-51.19683299576505
score_group,group4,20,132,-0.12858749557329943,37.878787878787875,,-34.547748600268115
score_group,group5,20,128,-8.333788851105433,21.09375,,-40.126124241790414
rank_ic,final_score_v0,20,13,0.27224812704775947,100.0,,0.13217891729183126
rank_ic,trend_relative_score_35,20,13,0.34998594571525754,100.0,,0.12778961892848623
rank_ic,quality_score_15,20,13,0.2068128763446538,92.3076923076923,,-0.04385744036344177
rank_ic,research_score_25,20,13,0.08423727073653647,69.23076923076923,,-0.02328869319877376
rank_ic,theme_score_20,20,13,0.13332728689694873,92.3076923076923,,-0.0057214586837492035
rank_ic,entry_timing_score_5,20,12,0.12454016913969414,75.0,,-0.11529227073966274
rank_ic,risk_penalty,20,13,-0.016364375753281174,46.15384615384615,,-0.152353382758702
