date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,650000.0,354893.1334,1004893.1334,7,2026-04-28
2026-04-29,signal_close,650000.0,354893.1334,1004893.1334,7,2026-04-29
2026-04-30,after_trade,500328.8217,499665.1178,999993.9395,10,2026-04-29
2026-04-30,signal_close,500328.8217,499665.1178,999993.9395,10,2026-04-30
2026-05-06,after_trade,236605.1461,826812.2859,1063417.432,15,2026-04-30
2026-05-07,signal_close,236605.1461,860889.2718,1097494.4179,15,2026-05-07
2026-05-08,after_trade,180732.8152,940559.3751,1121292.1903,16,2026-05-07
2026-05-08,signal_close,180732.8152,940559.3751,1121292.1903,16,2026-05-09
2026-05-11,after_trade,251937.2906,913839.0729,1165776.3636,15,2026-05-09
2026-05-11,signal_close,251937.2906,913839.0729,1165776.3636,15,2026-05-11
2026-05-12,after_trade,251937.2906,898836.5322,1150773.8228,15,2026-05-11
2026-05-12,signal_close,251937.2906,898836.5322,1150773.8228,15,2026-05-12
2026-05-13,after_trade,133834.8555,1053774.7237,1187609.5791,17,2026-05-12
2026-05-13,signal_close,133834.8555,1053774.7237,1187609.5791,17,2026-05-13
2026-05-14,after_trade,133834.8555,1029765.0337,1163599.8892,17,2026-05-13
2026-05-14,signal_close,133834.8555,1029765.0337,1163599.8892,17,2026-05-14
2026-05-15,after_trade,71450.1785,1054544.015,1125994.1935,18,2026-05-14
2026-05-19,signal_close,71450.1785,1073133.12,1144583.2986,18,2026-05-19
2026-05-20,after_trade,0.0,1173394.667,1173394.667,19,2026-05-19
2026-05-21,signal_close,0.0,1097377.2197,1097377.2197,19,2026-05-21
2026-05-22,after_trade,251193.4815,877828.008,1129021.4895,14,2026-05-21
2026-05-22,signal_close,251193.4815,877828.008,1129021.4895,14,2026-05-22
2026-05-25,after_trade,194081.4218,947393.7169,1141475.1386,15,2026-05-22
2026-05-25,signal_close,194081.4218,947393.7169,1141475.1386,15,2026-05-25
2026-05-26,after_trade,190248.6983,920718.382,1110967.0803,15,2026-05-25
2026-05-27,signal_close,190248.6983,894361.9517,1084610.65,15,2026-05-27
2026-05-28,after_trade,296411.6649,807945.0169,1104356.6818,13,2026-05-27
2026-05-29,signal_close,296411.6649,782108.5759,1078520.2407,13,2026-05-29
2026-06-01,after_trade,519583.6663,537721.247,1057304.9133,9,2026-05-29
2026-06-01,signal_close,519583.6663,537721.247,1057304.9133,9,2026-06-04
2026-06-02,after_trade,649016.8573,428767.6658,1077784.5232,7,2026-06-04
2026-06-05,signal_close,649016.8573,430595.1344,1079611.9917,7,2026-06-05
2026-06-08,after_trade,533736.6383,545255.7661,1078992.4044,9,2026-06-05
2026-06-08,signal_close,533736.6383,545255.7661,1078992.4044,9,2026-06-08
2026-06-09,after_trade,591283.0239,528096.8285,1119379.8524,8,2026-06-08
2026-06-09,signal_close,591283.0239,528096.8285,1119379.8524,8,2026-06-09
2026-06-10,after_trade,527962.1855,577666.5203,1105628.7058,9,2026-06-09
2026-06-10,signal_close,527962.1855,577666.5203,1105628.7058,9,2026-06-10
2026-06-11,after_trade,473035.3221,633431.507,1106466.8291,10,2026-06-10
2026-06-11,signal_close,473035.3221,633431.507,1106466.8291,10,2026-06-11
2026-06-12,after_trade,473035.3221,624782.9143,1097818.2365,10,2026-06-11
2026-06-12,signal_close,473035.3221,624782.9143,1097818.2365,10,2026-06-13
2026-06-15,after_trade,472593.4753,654358.9821,1126952.4575,10,2026-06-13
2026-06-15,signal_close,472593.4753,654358.9821,1126952.4575,10,2026-06-15
2026-06-16,after_trade,299092.3718,867029.9478,1166122.3196,13,2026-06-15
2026-06-16,signal_close,299092.3718,867029.9478,1166122.3196,13,2026-06-16
2026-06-17,after_trade,358610.5942,812950.2411,1171560.8353,13,2026-06-16
2026-06-17,signal_close,358610.5942,812950.2411,1171560.8353,13,2026-06-17
2026-06-18,after_trade,423089.2188,768581.8453,1191671.064,12,2026-06-17
2026-06-18,signal_close,423089.2188,768581.8453,1191671.064,12,2026-06-18
2026-06-19,after_trade,303922.1124,887570.4688,1191492.5811,14,2026-06-18
