date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,500000.0,510370.512,1010370.512,10,2026-04-28
2026-04-29,signal_close,500000.0,510370.512,1010370.512,10,2026-04-29
2026-04-30,after_trade,405802.7779,585718.8267,991521.6046,12,2026-04-29
2026-04-30,signal_close,405802.7779,585718.8267,991521.6046,12,2026-04-30
2026-05-06,after_trade,141758.8206,916973.5899,1058732.4104,17,2026-04-30
2026-05-07,signal_close,141758.8206,977602.5384,1119361.359,17,2026-05-07
2026-05-08,after_trade,141758.8206,993477.4986,1135236.3192,17,2026-05-07
2026-05-08,signal_close,141758.8206,993477.4986,1135236.3192,17,2026-05-09
2026-05-11,after_trade,0.0,1179320.5482,1179320.5482,20,2026-05-09
2026-05-11,signal_close,0.0,1179320.5482,1179320.5482,20,2026-05-11
2026-05-12,after_trade,0.0,1161222.9426,1161222.9426,20,2026-05-11
2026-05-12,signal_close,0.0,1161222.9426,1161222.9426,20,2026-05-12
2026-05-13,after_trade,0.0,1196157.8541,1196157.8541,20,2026-05-12
2026-05-13,signal_close,0.0,1196157.8541,1196157.8541,20,2026-05-13
2026-05-14,after_trade,59040.8846,1117761.4843,1176802.3689,19,2026-05-13
2026-05-14,signal_close,59040.8846,1117761.4843,1176802.3689,19,2026-05-14
2026-05-15,after_trade,231929.6248,907566.4456,1139496.0704,16,2026-05-14
2026-05-19,signal_close,231929.6248,890013.2276,1121942.8524,16,2026-05-19
2026-05-20,after_trade,134228.5402,1002268.1605,1136496.7008,17,2026-05-19
2026-05-21,signal_close,134228.5402,947500.4092,1081728.9494,17,2026-05-21
2026-05-22,after_trade,336130.2786,781243.998,1117374.2766,13,2026-05-21
2026-05-22,signal_close,336130.2786,781243.998,1117374.2766,13,2026-05-22
2026-05-25,after_trade,221872.3145,917763.9175,1139636.232,15,2026-05-22
2026-05-25,signal_close,221872.3145,917763.9175,1139636.232,15,2026-05-25
2026-05-26,after_trade,90564.4868,1027710.2744,1118274.7612,17,2026-05-25
2026-05-27,signal_close,90564.4868,1001602.4669,1092166.9537,17,2026-05-27
2026-05-28,after_trade,93176.5516,1015320.0614,1108496.613,17,2026-05-27
2026-05-29,signal_close,93176.5516,975138.7658,1068315.3174,17,2026-05-29
2026-06-01,after_trade,428961.6694,609304.2461,1038265.9155,11,2026-05-29
2026-06-01,signal_close,428961.6694,609304.2461,1038265.9155,11,2026-06-04
2026-06-02,after_trade,558910.1213,501964.9046,1060875.0259,9,2026-06-04
2026-06-05,signal_close,558910.1213,504800.0812,1063710.2025,9,2026-06-05
2026-06-08,after_trade,589624.599,466904.6582,1056529.2571,8,2026-06-05
2026-06-08,signal_close,589624.599,466904.6582,1056529.2571,8,2026-06-08
2026-06-09,after_trade,645676.2548,445375.2028,1091051.4576,7,2026-06-08
2026-06-09,signal_close,645676.2548,445375.2028,1091051.4576,7,2026-06-09
2026-06-10,after_trade,483184.0165,599523.7466,1082707.763,10,2026-06-09
2026-06-10,signal_close,483184.0165,599523.7466,1082707.763,10,2026-06-10
2026-06-11,after_trade,431573.1461,647689.4443,1079262.5904,11,2026-06-10
2026-06-11,signal_close,431573.1461,647689.4443,1079262.5904,11,2026-06-11
2026-06-12,after_trade,431573.1461,643412.0327,1074985.1788,11,2026-06-11
2026-06-12,signal_close,431573.1461,643412.0327,1074985.1788,11,2026-06-13
2026-06-15,after_trade,431504.4559,667840.9503,1099345.4062,11,2026-06-13
2026-06-15,signal_close,431504.4559,667840.9503,1099345.4062,11,2026-06-15
2026-06-16,after_trade,262475.9838,873585.2278,1136061.2116,14,2026-06-15
2026-06-16,signal_close,262475.9838,873585.2278,1136061.2116,14,2026-06-16
2026-06-17,after_trade,205419.1122,935142.2385,1140561.3507,15,2026-06-16
2026-06-17,signal_close,205419.1122,935142.2385,1140561.3507,15,2026-06-17
2026-06-18,after_trade,268433.8627,890741.2134,1159175.0761,14,2026-06-17
2026-06-18,signal_close,268433.8627,890741.2134,1159175.0761,14,2026-06-18
2026-06-19,after_trade,94557.6013,1064357.051,1158914.6523,17,2026-06-18
