code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
600487.SH,亨通光电,1395.993433,2026-06-01,75.24,56.655,111.01,154969.231,47.5412
301511.SZ,德福科技,847.052789,2026-06-01,124.0,46.6,160.9,136290.7938,29.7581
600522.SH,中天科技,2443.668545,2026-06-08,44.0,51.1068,56.55,138189.4562,28.5227
002138.SZ,顺络电子,1991.137333,2026-06-08,54.0,46.8,61.23,121917.3389,13.3889
688519.SH,南亚新材,438.1685,2026-06-09,264.0,54.6,295.0,129259.7075,11.7424
301205.SZ,联特科技,329.708776,2026-06-10,350.06,45.9076,361.02,119031.4621,3.1309
300666.SZ,江丰电子,445.490592,2026-06-11,255.13,55.0,292.4,130261.4491,14.6082
600869.SH,远东股份,2120.388838,2026-06-11,31.18,48.3,32.43,68764.21,4.009
688772.SH,珠海冠宇,5887.764722,2026-06-15,18.85,47.0,21.72,127882.2498,15.2255
688498.SH,源杰科技,78.288427,2026-06-18,1600.0,67.8,1673.36,131004.7221,4.585
