code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
600487.SH,亨通光电,1470.27229,2026-06-01,75.24,56.655,111.01,163214.9269,47.5412
600522.SH,中天科技,2553.532771,2026-06-08,44.0,51.1068,56.55,144402.2782,28.5227
002138.SZ,顺络电子,2080.656332,2026-06-08,54.0,46.8,61.23,127398.5872,13.3889
688519.SH,南亚新材,462.236368,2026-06-09,264.0,54.6,295.0,136359.7286,11.7424
301205.SZ,联特科技,347.255343,2026-06-10,350.06,45.9076,361.02,125366.1238,3.1309
300666.SZ,江丰电子,468.468241,2026-06-11,255.13,55.0,292.4,136980.1137,14.6082
600869.SH,远东股份,76.037484,2026-06-11,31.18,48.3,32.43,2465.8956,4.009
688772.SH,珠海冠宇,6201.044446,2026-06-15,18.85,47.0,21.72,134686.6854,15.2255
688498.SH,源杰科技,84.901679,2026-06-17,1561.03,68.1,1673.36,142071.073,7.1959
002281.SZ,光迅科技,555.610856,2026-06-18,241.99,62.3948,266.2,147903.6098,10.0045
