code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
688449.SH,联芸科技,907.567933,2026-05-06,58.1,63.5,66.67,60507.5541,14.7504
301511.SZ,德福科技,515.763263,2026-05-25,110.6,49.6,160.9,82986.309,45.4792
600487.SH,亨通光电,688.561573,2026-06-01,75.24,56.655,111.01,76437.2203,47.5412
600522.SH,中天科技,1183.694786,2026-06-08,44.0,51.1068,56.55,66937.9401,28.5227
002138.SZ,顺络电子,964.492048,2026-06-08,54.0,46.8,61.23,59055.8481,13.3889
688519.SH,南亚新材,205.141776,2026-06-09,264.0,54.6,295.0,60516.8238,11.7424
301205.SZ,联特科技,154.496244,2026-06-10,350.06,45.9076,361.02,55776.2338,3.1309
300666.SZ,江丰电子,210.259124,2026-06-11,255.13,55.0,292.4,61479.7678,14.6082
600869.SH,远东股份,1720.44292,2026-06-11,31.18,48.3,32.43,55793.9639,4.009
688772.SH,珠海冠宇,2907.727135,2026-06-15,18.85,47.0,21.72,63155.8334,15.2255
688498.SH,源杰科技,38.533176,2026-06-16,1460.0,70.1,1673.36,64479.8747,14.6137
603061.SH,金海通,165.70968,2026-06-16,339.5,52.0799,350.8,58130.9558,3.3284
600392.SH,盛和资源,1962.501362,2026-06-17,29.03,53.6,31.66,62132.7931,9.0596
002281.SZ,光迅科技,237.979322,2026-06-18,241.99,62.3948,266.2,63350.0954,10.0045
000988.SZ,华工科技,325.947316,2026-06-19,177.55,56.5537,177.55,57871.9459,0.0
003031.SZ,中瓷电子,328.276963,2026-06-19,176.29,50.0807,176.29,57871.9459,0.0
300857.SZ,协创数据,208.35234,2026-06-19,277.76,47.2765,277.76,57871.9459,0.0
