code,name,shares,entry_date,entry_price,entry_score,last_price,market_value,unrealized_return_pct
688449.SH,联芸科技,906.467065,2026-05-06,58.1,63.5,66.67,60434.1593,14.7504
301511.SZ,德福科技,513.505012,2026-05-25,110.6,49.6,160.9,82622.9564,45.4792
600487.SH,亨通光电,709.253235,2026-06-01,75.24,56.655,111.01,78734.2016,47.5412
600522.SH,中天科技,1224.853772,2026-06-08,44.0,51.1068,56.55,69265.4808,28.5227
002138.SZ,顺络电子,998.029,2026-06-08,54.0,46.8,61.23,61109.3157,13.3889
688519.SH,南亚新材,212.210425,2026-06-09,264.0,54.6,295.0,62602.0754,11.7424
301205.SZ,联特科技,159.820493,2026-06-10,350.06,45.9076,361.02,57698.3943,3.1309
300666.SZ,江丰电子,217.181774,2026-06-11,255.13,55.0,292.4,63503.9508,14.6082
688772.SH,珠海冠宇,2996.425291,2026-06-15,18.85,47.0,21.72,65082.3573,15.2255
688498.SH,源杰科技,39.704727,2026-06-16,1460.0,70.1,1673.36,66440.3014,14.6137
603061.SH,金海通,170.747867,2026-06-16,339.5,52.0799,350.8,59898.3519,3.3284
600392.SH,盛和资源,2022.412331,2026-06-17,29.03,53.6,31.66,64029.5744,9.0596
002281.SZ,光迅科技,245.255028,2026-06-18,241.99,62.3948,266.2,65286.8884,10.0045
000988.SZ,华工科技,335.912454,2026-06-19,177.55,56.5537,177.55,59641.2562,0.0
003031.SZ,中瓷电子,338.313326,2026-06-19,176.29,50.0807,176.29,59641.2562,0.0
