date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-04-29,BUY,002730.SZ,电光科技,30.4,1642.273432,49925.1123,74.8877,950000.0,top_score,,,,2026-04-28
2026-04-29,BUY,002281.SZ,光迅科技,132.53,376.708008,49925.1123,74.8877,900000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688008.SH,澜起科技,171.0,291.959721,49925.1123,74.8877,850000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688498.SH,源杰科技,1428.8,34.941988,49925.1123,74.8877,800000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688041.SH,海光信息,284.72,175.348105,49925.1123,74.8877,750000.0,top_score,,,,2026-04-28
2026-04-29,BUY,000977.SZ,浪潮信息,70.48,708.358575,49925.1123,74.8877,700000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600522.SH,中天科技,34.2,1459.798606,49925.1123,74.8877,650000.0,top_score,,,,2026-04-28
2026-04-30,BUY,301511.SZ,德福科技,69.9,712.670519,49815.6693,74.7235,600109.6072,top_score,,,,2026-04-29
2026-04-30,BUY,600487.SH,亨通光电,67.7,735.829679,49815.6693,74.7235,550219.2144,top_score,,,,2026-04-29
2026-04-30,BUY,000988.SZ,华工科技,118.86,419.112143,49815.6693,74.7235,500328.8217,top_score,,,,2026-04-29
2026-05-06,BUY,001309.SZ,德明利,570.0,92.396029,52665.7365,78.9986,447584.0866,top_score,,,,2026-04-30
2026-05-06,BUY,688449.SH,联芸科技,58.1,906.467065,52665.7365,78.9986,394839.3515,top_score,,,,2026-04-30
2026-05-06,BUY,688110.SH,东芯股份,145.67,361.541405,52665.7365,78.9986,342094.6163,top_score,,,,2026-04-30
2026-05-06,BUY,300136.SZ,信维通信,92.0,572.453658,52665.7365,78.9986,289349.8812,top_score,,,,2026-04-30
2026-05-06,BUY,603629.SH,利通电子,149.95,351.221984,52665.7365,78.9986,236605.1461,top_score,,,,2026-04-30
2026-05-08,BUY,688313.SH,仕佳光子,164.7,338.728889,55788.6479,83.683,180732.8152,top_score,,,,2026-05-07
2026-05-11,SELL,002281.SZ,光迅科技,188.0,376.708008,70821.1055,106.2317,251447.6891,risk_flag,2026-04-29,132.53,41.8547,2026-05-08
2026-05-11,SELL,603629.SH,利通电子,167.55,351.221984,58847.2434,88.2709,310206.6617,risk_flag,2026-05-06,149.95,11.7372,2026-05-08
2026-05-11,BUY,300620.SZ,光库科技,263.9,220.470246,58182.0979,87.2731,251937.2906,top_score,,,,2026-05-08
2026-05-13,BUY,688205.SH,德科立,292.58,201.527013,58962.7734,88.4442,192886.073,top_score,,,,2026-05-12
2026-05-13,BUY,688785.SH,恒运昌,390.9,150.83851,58962.7734,88.4442,133834.8555,top_score,,,,2026-05-12
2026-05-15,SELL,000977.SZ,浪潮信息,71.6,708.358575,50718.4739,76.0777,184477.2517,below_ma20,2026-04-29,70.48,1.5891,2026-05-14
2026-05-15,BUY,003031.SZ,中瓷电子,165.0,341.993292,56428.8932,84.6433,127963.7151,top_score,,,,2026-05-14
2026-05-15,BUY,600105.SH,永鼎股份,53.99,1045.173055,56428.8932,84.6433,71450.1785,top_score,,,,2026-05-14
2026-05-20,SELL,688498.SH,源杰科技,1065.0,34.941988,37213.2171,55.8198,108607.5758,below_ma20,2026-04-29,1428.8,-25.4619,2026-05-19
2026-05-20,BUY,002281.SZ,光迅科技,229.01,254.897061,58373.9759,87.561,50146.039,top_score,,,,2026-05-19
2026-05-20,BUY,603629.SH,利通电子,172.99,289.444087,50070.9326,75.1064,0.0,top_score,,,,2026-05-19
2026-05-22,SELL,002730.SZ,电光科技,30.58,1642.273432,50220.7215,75.3311,50145.3905,below_ma20,2026-04-29,30.4,0.5921,2026-05-21
2026-05-22,SELL,688041.SH,海光信息,311.1,175.348105,54550.7953,81.8262,104614.3596,below_ma20,2026-04-29,284.72,9.2652,2026-05-21
2026-05-22,SELL,600487.SH,亨通光电,70.66,735.829679,51993.7251,77.9906,156530.0941,below_ma20,2026-04-30,67.7,4.3722,2026-05-21
2026-05-22,SELL,688110.SH,东芯股份,141.8,361.541405,51266.5713,76.8999,207719.7655,rank_decay,2026-05-06,145.67,-2.6567,2026-05-21
2026-05-22,SELL,300620.SZ,光库科技,254.19,220.470246,56041.3318,84.062,263677.0354,below_ma20,2026-05-11,263.9,-3.6794,2026-05-21
2026-05-22,SELL,688205.SH,德科立,254.8,201.527013,51349.0829,77.0236,314949.0946,below_ma20,2026-05-13,292.58,-12.9127,2026-05-21
2026-05-22,SELL,600105.SH,永鼎股份,47.22,1045.173055,49353.0717,74.0296,364228.1367,below_ma20,2026-05-15,53.99,-12.5394,2026-05-21
2026-05-22,BUY,603061.SH,金海通,318.77,177.03259,56432.6786,84.649,307710.8091,top_score,,,,2026-05-21
2026-05-22,BUY,688307.SH,中润光学,90.0,627.029762,56432.6786,84.649,251193.4815,top_score,,,,2026-05-21
2026-05-25,BUY,688025.SH,杰普特,450.0,126.7256,57026.52,85.5398,194081.4218,top_score,,,,2026-05-22
2026-05-26,SELL,688307.SH,中润光学,82.69,627.029762,51849.091,77.7736,245852.7391,below_ma20,2026-05-22,90.0,-8.1222,2026-05-25
2026-05-26,BUY,002409.SZ,雅克科技,125.54,442.255534,55520.7597,83.2811,190248.6983,top_score,,,,2026-05-25
