date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-04-29,BUY,002730.SZ,电光科技,30.4,1642.273432,49925.1123,74.8877,950000.0,top_score,,,,2026-04-28
2026-04-29,BUY,002281.SZ,光迅科技,132.53,376.708008,49925.1123,74.8877,900000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688008.SH,澜起科技,171.0,291.959721,49925.1123,74.8877,850000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688498.SH,源杰科技,1428.8,34.941988,49925.1123,74.8877,800000.0,top_score,,,,2026-04-28
2026-04-29,BUY,688041.SH,海光信息,284.72,175.348105,49925.1123,74.8877,750000.0,top_score,,,,2026-04-28
2026-04-29,BUY,000977.SZ,浪潮信息,70.48,708.358575,49925.1123,74.8877,700000.0,top_score,,,,2026-04-28
2026-04-29,BUY,600522.SH,中天科技,34.2,1459.798606,49925.1123,74.8877,650000.0,top_score,,,,2026-04-28
2026-04-30,BUY,301511.SZ,德福科技,69.9,712.670519,49815.6693,74.7235,600109.6072,top_score,,,,2026-04-29
2026-04-30,BUY,600487.SH,亨通光电,67.7,735.829679,49815.6693,74.7235,550219.2144,top_score,,,,2026-04-29
2026-04-30,BUY,000988.SZ,华工科技,118.86,419.112143,49815.6693,74.7235,500328.8217,top_score,,,,2026-04-29
2026-05-06,BUY,001309.SZ,德明利,570.0,92.396029,52665.7365,78.9986,447584.0866,top_score,,,,2026-04-30
2026-05-06,BUY,688449.SH,联芸科技,58.1,906.467065,52665.7365,78.9986,394839.3515,top_score,,,,2026-04-30
2026-05-06,BUY,688110.SH,东芯股份,145.67,361.541405,52665.7365,78.9986,342094.6163,top_score,,,,2026-04-30
2026-05-06,BUY,300136.SZ,信维通信,92.0,572.453658,52665.7365,78.9986,289349.8812,top_score,,,,2026-04-30
2026-05-06,BUY,603629.SH,利通电子,149.95,351.221984,52665.7365,78.9986,236605.1461,top_score,,,,2026-04-30
2026-05-08,BUY,688313.SH,仕佳光子,164.7,338.728889,55788.6479,83.683,180732.8152,top_score,,,,2026-05-07
2026-05-11,SELL,002281.SZ,光迅科技,188.0,376.708008,70821.1055,106.2317,251447.6891,risk_flag,2026-04-29,132.53,41.8547,2026-05-08
2026-05-11,SELL,603629.SH,利通电子,167.55,351.221984,58847.2434,88.2709,310206.6617,risk_flag,2026-05-06,149.95,11.7372,2026-05-08
2026-05-11,BUY,300620.SZ,光库科技,263.9,220.470246,58182.0979,87.2731,251937.2906,top_score,,,,2026-05-08
2026-05-13,SELL,000977.SZ,浪潮信息,72.66,708.358575,51469.334,77.204,303329.4206,rank_decay,2026-04-29,70.48,3.0931,2026-05-12
2026-05-13,BUY,688205.SH,德科立,292.58,200.943321,58791.9968,88.188,244449.2359,top_score,,,,2026-05-12
2026-05-13,BUY,688785.SH,恒运昌,390.9,150.401629,58791.9968,88.188,185569.0511,top_score,,,,2026-05-12
2026-05-14,SELL,301511.SZ,德福科技,96.06,712.670519,68459.13,102.6887,253925.4925,rank_decay,2026-04-30,69.9,37.4249,2026-05-13
2026-05-14,SELL,688110.SH,东芯股份,166.2,361.541405,60088.1816,90.1323,313923.5418,rank_decay,2026-05-06,145.67,14.0935,2026-05-13
2026-05-14,SELL,300136.SZ,信维通信,112.88,572.453658,64618.5689,96.9279,378445.1828,rank_decay,2026-05-06,92.0,22.6957,2026-05-13
2026-05-15,SELL,688041.SH,海光信息,320.0,175.348105,56111.3935,84.1671,434472.4091,rank_decay,2026-04-29,284.72,12.3911,2026-05-14
2026-05-15,SELL,000988.SZ,华工科技,138.1,419.112143,57879.3869,86.8191,492264.977,rank_decay,2026-04-30,118.86,16.1871,2026-05-14
2026-05-15,BUY,003031.SZ,中瓷电子,165.0,347.841413,57393.8331,86.0907,434785.0531,top_score,,,,2026-05-14
2026-05-15,BUY,600105.SH,永鼎股份,53.99,1063.045622,57393.8331,86.0907,377305.1292,top_score,,,,2026-05-14
2026-05-20,SELL,688498.SH,源杰科技,1065.0,34.941988,37213.2171,55.8198,414462.5265,below_ma20,2026-04-29,1428.8,-25.4619,2026-05-19
2026-05-20,SELL,001309.SZ,德明利,705.0,92.396029,65139.2004,97.7088,479504.0181,rank_decay,2026-05-06,570.0,23.6842,2026-05-19
2026-05-20,BUY,002281.SZ,光迅科技,229.01,250.98252,57477.5069,86.2163,421940.2949,top_score,,,,2026-05-19
2026-05-20,BUY,603629.SH,利通电子,172.99,332.25913,57477.5069,86.2163,364376.5718,top_score,,,,2026-05-19
2026-05-22,SELL,002730.SZ,电光科技,30.58,1642.273432,50220.7215,75.3311,414521.9622,below_ma20,2026-04-29,30.4,0.5921,2026-05-21
2026-05-22,SELL,600487.SH,亨通光电,70.66,735.829679,51993.7251,77.9906,466437.6968,below_ma20,2026-04-30,67.7,4.3722,2026-05-21
2026-05-22,SELL,300620.SZ,光库科技,254.19,220.470246,56041.3318,84.062,522394.9666,below_ma20,2026-05-11,263.9,-3.6794,2026-05-21
2026-05-22,SELL,688205.SH,德科立,254.8,200.943321,51200.3581,76.8005,573518.5242,below_ma20,2026-05-13,292.58,-12.9127,2026-05-21
2026-05-22,SELL,688785.SH,恒运昌,434.0,150.401629,65274.307,97.9115,638694.9197,rank_decay,2026-05-13,390.9,11.0258,2026-05-21
