name,code,report,revenue,revenue_yoy,net_profit,net_profit_yoy,revenue_text,revenue_yoy_text,net_profit_text,net_profit_yoy_text
海光信息,688041.SH,2026Q1,4033592186.34,68.0559,877361302.1,22.902255420076,40.34亿元,+68.06%,8.77亿元,+22.90%
澜起科技,688008.SH,2026Q1,1460718316.43,19.5146,829725360.22,64.719973081879,14.61亿元,+19.51%,8.30亿元,+64.72%
亨通光电,600487.SH,2026Q1,17790560069.79,34.0867,1181936812.75,99.379950280451,177.91亿元,+34.09%,11.82亿元,+99.38%
华工科技,000988.SZ,2026Q1,4265855702.83,27.1313,644093036.25,58.378970759137,42.66亿元,+27.13%,6.44亿元,+58.38%
源杰科技,688498.SH,2026Q1,355278486.49,320.9399,179441968.61,1153.0720107745,3.55亿元,+320.94%,1.79亿元,+1153.07%
中天科技,600522.SH,2026Q1,13142208087.22,34.7112,947421257.02,51.835335866058,131.42亿元,+34.71%,9.47亿元,+51.84%
协创数据,300857.SZ,2026Q1,6084505275.47,192.9016,747390060.74,352.87453135663,60.85亿元,+192.90%,7.47亿元,+352.87%
德明利,001309.SZ,2026Q1,7538357736.63,502.0834,3346185437.62,4942.4217858924,75.38亿元,+502.08%,33.46亿元,+4942.42%
浪潮信息,000977.SZ,2026Q1,35470325836.04,-24.3031,604884837.99,31.091015536259,354.70亿元,-24.30%,6.05亿元,+31.09%
信维通信,300136.SZ,2026Q1,1992215856.05,14.3052,104889140.24,41.721322372529,19.92亿元,+14.31%,1.05亿元,+41.72%
金风科技,002202.SZ,2026Q1,15484910567.73,63.4791,1007542838.04,50.826007244097,154.85亿元,+63.48%,10.08亿元,+50.83%
光迅科技,002281.SZ,2026Q1,2773352847.92,24.7949,232478183.87,58.838928146982,27.73亿元,+24.79%,2.32亿元,+58.84%
东阳光,600673.SH,2026Q1,4248632543.63,26.9475,137594062.63,-51.96759403344,42.49亿元,+26.95%,1.38亿元,-51.97%
永鼎股份,600105.SH,2026Q1,1245669271.4,41.9166,147487762.19,-48.353654018103,12.46亿元,+41.92%,1.47亿元,-48.35%
长光华芯,688048.SH,2026Q1,129928713.96,37.8099,4777516.27,167.89675329831,1.30亿元,+37.81%,0.05亿元,+167.90%
华勤技术,603296.SH,2026Q1,40745694661.84,16.4239,1069651426.16,27.501220665367,407.46亿元,+16.42%,10.70亿元,+27.50%
仕佳光子,688313.SH,2026Q1,576592985.36,32.1833,116175902.84,24.659751045736,5.77亿元,+32.18%,1.16亿元,+24.66%
福晶科技,002222.SZ,2026Q1,324426753.06,35.6255,75534405.96,42.622229044704,3.24亿元,+35.63%,0.76亿元,+42.62%
光库科技,300620.SZ,2026Q1,426465402.22,60.7961,42283048.13,368.17253690358,4.26亿元,+60.80%,0.42亿元,+368.17%
腾景科技,688195.SH,2026Q1,171171017.57,51.1714,18201292.49,31.121724792274,1.71亿元,+51.17%,0.18亿元,+31.12%
天通股份,600330.SH,2026Q1,805116504.37,12.6972,-44359278.41,-192.1857179228,8.05亿元,+12.70%,-0.44亿元,-192.19%
德福科技,301511.SZ,2026Q1,4337852580.59,73.4747,199777653.18,538.14553660062,43.38亿元,+73.47%,2.00亿元,+538.15%
凯莱英,002821.SZ,2026Q1,1801847990.24,16.9108,301155741.59,-7.2142906229107,18.02亿元,+16.91%,3.01亿元,-7.21%
赛微电子,300456.SZ,2026Q1,98542482.24,-62.675,-62020554.13,-208.17134893999,0.99亿元,-62.67%,-0.62亿元,-208.17%
华胜天成,600410.SH,2026Q1,1018432435.95,15.0835,-34286878.41,-122.2283324122,10.18亿元,+15.08%,-0.34亿元,-122.23%
德科立,688205.SH,2026Q1,254444250.0,27.9698,19639010.0,35.082222723571,2.54亿元,+27.97%,0.20亿元,+35.08%
宏景科技,301396.SZ,2026Q1,376876895.56,7.0111,64611195.35,199.81340610328,3.77亿元,+7.01%,0.65亿元,+199.81%
光环新网,300383.SZ,2026Q1,1633283833.53,-10.8255,19828960.16,-71.314986266789,16.33亿元,-10.83%,0.20亿元,-71.31%
中瓷电子,003031.SZ,2026Q1,1099043302.94,79.0482,209008036.72,50.327290903687,10.99亿元,+79.05%,2.09亿元,+50.33%
太辰光,300570.SZ,2026Q1,340764511.64,-8.0396,67390990.84,-17.241868670823,3.41亿元,-8.04%,0.67亿元,-17.24%
杰普特,688025.SH,2026Q1,660862470.64,92.7494,96602009.75,167.61732473492,6.61亿元,+92.75%,0.97亿元,+167.62%
亚翔集成,603929.SH,2026Q1,1130437772.48,35.3812,247458785.38,198.67507908954,11.30亿元,+35.38%,2.47亿元,+198.68%
利通电子,603629.SH,2026Q1,997438307.3,41.6128,273058333.67,819.29554871982,9.97亿元,+41.61%,2.73亿元,+819.30%
联特科技,301205.SZ,2026Q1,213359674.81,-9.5649,3045822.79,-83.714582731994,2.13亿元,-9.56%,0.03亿元,-83.71%
金海通,603061.SH,2026Q1,283919855.45,120.7678,82502378.84,221.54002217408,2.84亿元,+120.77%,0.83亿元,+221.54%
拉普拉斯,688726.SH,2026Q1,967520939.18,-33.3124,120807817.86,-52.204843575157,9.68亿元,-33.31%,1.21亿元,-52.20%
致尚科技,301486.SZ,2026Q1,265972110.22,-0.0601,612721.58,-98.373582965117,2.66亿元,-0.06%,0.01亿元,-98.37%
奥瑞德,600666.SH,2026Q1,120703271.09,22.6862,-10008519.37,-3.1303912825008,1.21亿元,+22.69%,-0.10亿元,-3.13%
中船科技,600072.SH,2026Q1,1943036457.45,118.1334,-211074005.3,34.166352133723,19.43亿元,+118.13%,-2.11亿元,+34.17%
